5, 0, 0, 1787.35, 4477380
10, 252, 0, 1770.42, 4477644
15, 252, 0, 1753.56, 4477644
20, 0, 0, 1745.69, 4477568
25, 0, 0, 1808.51, 4477548
30, 0, 0, 1791.41, 4477756
35, 0, 0, 1777.81, 4477756
40, 0, 0, 1764.66, 4477756
45, 0, 0, 1751.71, 4477756
50, 0, 0, 1738.95, 4477756
55, 0, 0, 1726.38, 4477756
60, 0, 0, 1713.96, 4348132
65, 0, 0, 1701.83, 4217340
70, 282, 0, 1689.86, 3954128
75, 158, 0, 1678.07, 3954128
80, 0, 0, 1666.45, 3955196
85, 0, 0, 1654.96, 3428792
90, 0, 0, 1643.65, 3428792
95, 0, 0, 1632.41, 3430908
100, 0, 0, 1621.33, 3430908
105, 0, 0, 1610.42, 3430908
110, 0, 0, 1597.22, 2378120
115, 0, 0, 1584.18, 2380860
120, 0, 0, 1572.69, 2380860
125, 0, 0, 1560.21, 2380860
130, 376, 0, 1547.70, 2380860
135, 64, 0, 1535.22, 2380860
140, 0, 0, 1523.06, 2380860
145, 0, 0, 1513.40, 2380860
150, 0, 0, 1503.95, 2382332
155, 0, 0, 1494.62, 1855928
160, 0, 0, 1485.39, 1855928
165, 0, 0, 1476.28, 1857872
170, 0, 0, 1467.26, 1857872
175, 0, 0, 1458.37, 1857872
180, 0, 0, 1449.72, 1858044
185, 0, 0, 1440.95, 1660636
190, 376, 0, 1432.24, 1398712
195, 64, 0, 1423.72, 1398712
200, 0, 0, 1415.28, 1398712
205, 0, 0, 1406.94, 1136480
210, 0, 0, 1398.71, 1136480
215, 0, 0, 1390.58, 1137148
220, 0, 0, 1380.84, 873936
225, 0, 0, 1371.36, 874416
230, 0, 0, 1361.60, 809188
235, 346, 0, 1360.54, 677616
240, 64, 0, 1351.12, 415016
245, 282, 0, 1343.46, 415908
250, 158, 0, 1335.98, 333660
255, 0, 0, 1328.64, 236056
260, 0, 0, 1321.40, 137344
265, 0, 0, 1314.22, 34536
270, 0, 0, 1307.12, 20
275, 0, 0, 1300.11, 20
280, 0, 0, 1293.15, 20
285, 0, 0, 1286.28, 20
290, 0, 0, 1279.44, 20
295, 0, 0, 1272.66, 20
300, 0, 0, 1265.94, 20
